#DSCSV
#ISONAMETYPEUNITS
Time,Double
#DATATYPES
Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
#KEYWORDS
X_pav_bdtAVG,Y_pav_bdtAVG,Z_pav_bdtAVG,X_pav_bdtAVD,Y_pav_bdtAVD,Z_pav_bdtAVD,X_pav_bdtARG,Z_pav_bdtARG,X_pav_bdtARD,Y_pav_bdtARD,Z_pav_bdtARD,X_bdt_AVC,Y_bdt_AVC,Z_bdt_AVC,X_pied_bdtAVG,Y_pied_bdtAVG,Z_pied_bdtAVG,X_pied_bdtARD,Y_pied_bdtARD,Z_pied_bdtARD,gauge_R1a,gauge_R1b,gauge_R1c,gauge_R2a,gauge_R2b,gauge_R2c,gauge_R3a,gauge_R3b,gauge_R3c,gauge_R4a,gauge_R4b,gauge_R4c,gauge_R5a,gauge_R5b,gauge_R5c,gauge_R6a,gauge_R6b,gauge_R6c
#UNITS
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE,uE
#SECTIONSTART
#ISOBASEINC
0.0,0.004882
#SECTIONDATA
-0.08267635,-0.08426711,-0.1038578,-0.1077872,-0.09580148,0.01863691,-0.08844123,-0.03645946,-0.09803019,-0.1230754,-0.03807728,-0.1108777,-0.05947595,0.07537911,-0.09129953,-0.05225694,-0.1126977,-0.09786949,-0.08874482,-0.04326932,-27.0757,8.620903,-7.23398,-4.753472,5.711296,36.34952,1.507456,1.344333,19.10076,32.96797,4.938997,4.47795,19.24271,-5.755174,-29.25629,7.26279,-8.677824,-3.966717
-0.06012826,nan,-0.1020285,-0.05506593,nan,0.01398524,-0.06975552,-0.100824,-0.04557962,-0.1413898,0.002541458,-0.08147164,-0.07990026,0.02058741,-0.06340809,-0.06963724,-0.1002542,-0.06010676,-0.08638744,0.0266842,-35.16058,1.918294,-9.431711,-4.813757,10.64753,41.66919,-1.513777,6.362036,27.27804,37.39816,9.550874,4.944763,20.01619,-4.709615,-28.72614,8.392018,-10.03785,-4.866503
-0.01725271,-0.04033915,,-0.03658419,-0.05058726,0.02129501,-0.02596714,-0.1774596,-0.02408236,-0.06594312,0.1103528,-0.05609883,-0.1111065,0.001512986,-0.01569105,-0.05968491,-0.1340819,-0.04521073,-0.06636465,0.09123993,-43.51567,-6.999488,-11.41761,-4.268178,15.65365,46.30917,-3.880831,13.25496,35.27157,41.04775,15.26209,5.081157,21.7408,-3.899472,-28.04711,8.938669,-11.68601,-6.153006
